t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2
1.820000000000000062e+00,9.898441152993289055e-03,3.096557061794411817e-03,6.027391369907737252e-03,6.056016548090510480e-03,6.909590677103167981e-03,6.267894640156606093e-03,2.419922578738799637e-03,3.496236763910629854e-03,-5.813893650034487708e-03,-3.778533055217922617e-04,-2.587337762888711071e-04,7.555806914037123314e-04
1.830000000000000071e+00,9.922303975783671251e-03,3.131839353829546802e-03,5.969264552361070245e-03,6.052344314524361717e-03,6.906921596046766525e-03,6.275425488072181902e-03,2.352724703083470398e-03,3.560061980639126107e-03,-5.811376053619887218e-03,-3.564493371235336267e-04,-2.752252211590690669e-04,7.506001344124353138e-04
1.840000000000000080e+00,9.945512828941261221e-03,3.167739125414511820e-03,5.911157669508933753e-03,6.048857685001339871e-03,6.904110847282320454e-03,6.282904347532401908e-03,2.289167203043709388e-03,3.621094333954622685e-03,-5.809620832295845673e-03,-3.365677424048553294e-04,-2.907064971485229829e-04,7.462778705042393814e-04
1.850000000000000089e+00,9.968087152504254492e-03,3.204244043307260311e-03,5.853071991163400975e-03,6.045557205916032503e-03,6.901153564120382500e-03,6.290344118115699310e-03,2.226138998345641735e-03,3.681064228551595569e-03,-5.807219317917498499e-03,-3.190819776756539526e-04,-3.047028074355661730e-04,7.430273445200878592e-04
1.860000000000000098e+00,9.990016683823632268e-03,3.241361635043127788e-03,5.795023579117935739e-03,6.042453175420109575e-03,6.898035930183406272e-03,6.297761396815052849e-03,2.160414630045696428e-03,3.741598491117370789e-03,-5.802724731411899352e-03,-3.048554424395393046e-04,-3.166935382730011483e-04,7.410249878186180939e-04
1.870000000000000107e+00,1.001126519279753671e-02,3.279096017547894135e-03,5.737038426618004672e-03,6.039498864891432693e-03,6.894791243358741085e-03,6.305163950476621801e-03,2.091569119185072555e-03,3.802658760134915942e-03,-5.795648123972481185e-03,-2.940215437096351447e-04,-3.265410234086166415e-04,7.402884715772602847e-04
1.880000000000000115e+00,1.003181051072361309e-02,3.317440311945656431e-03,5.679137143082446833e-03,6.036616433510206756e-03,6.891472839043804970e-03,6.312569021381692937e-03,2.018357958751712707e-03,3.864953475849102708e-03,-5.785119902975836489e-03,-2.861234338879874942e-04,-3.345487740008373768e-04,7.409717022661914789e-04
1.890000000000000124e+00,1.005161282508468777e-02,3.356401844327104502e-03,5.621350970409815656e-03,6.033764267604043580e-03,6.888108295331230382e-03,6.319989670683808652e-03,1.939840857756103959e-03,3.928988726048453575e-03,-5.770597324052216190e-03,-2.804944039551759516e-04,-3.411466606000474453e-04,7.429190700657389975e-04
1.900000000000000133e+00,1.007061293509033638e-02,3.396002985772177390e-03,5.563722566176889338e-03,6.030938562043551034e-03,6.884698601085468585e-03,6.327433856021263785e-03,1.855506571018548457e-03,3.994981361463163967e-03,-5.751921298620198998e-03,-2.762631014121599816e-04,-3.468824355518367476e-04,7.456447586980018355e-04
1.910000000000000142e+00,1.008873260617366811e-02,3.436280918576198936e-03,5.506305784504058470e-03,6.028173139498548515e-03,6.881218324236924345e-03,6.334904353025543403e-03,1.765279983953026502e-03,4.062854492436273474e-03,-5.729316714318981492e-03,-2.723645916895978537e-04,-3.524139431988352667e-04,7.483386101192660662e-04
